# check-terms.ps1 -Allow: 相対パスの一部<TAB>言い方<TAB>行に含まれる文字<TAB>理由
# 言い方と「行に含まれる文字」には \uXXXX（文字の番号）が書けます。書きたくない言い方（アカウント停止と取り違えられる
# 中国語）は、このファイルにも平文では書きません。封禁 がその言い方です。
# 「行に含まれる文字」を空にするとファイルまるごとの許可になります（実行の最後に件数が出ます）。README のように
# プレイヤーやホストが読む所が混ざるファイルでは使わず、アプリの画面そのものを指す行だけを 1 行ずつ許可します。
aegis\AegisBan.ps1	封禁		v0.5.5: 作者と管理人（Aegis チーム）だけが使う BAN 管理アプリの画面の言葉。チケットに貼ってプレイヤー本人が読む返事のひな形（rt. / rs.）は 限制进入 に直しました。残りはアプリの画面だけで、次の作業（件数は実行の最後に出ます）。アプリの画面と README 第 27・29 章の説明は同時に直す
aegis\Aegis.ps1	封禁		v0.5.5: 同上（トレイアプリの一覧の名前。作者の PC だけ）
tools\make-admin-kit.ps1	封禁		v0.5.5: 同上（管理人キットの使い方の文。管理人に渡す zip の中身）
PocketRolesLauncher.ps1	封禁		v0.5.5: 同上（ランチャーの BAN 管理のショートカットの説明）
README.zh-CN.md	封禁	AegisBan.ps1	v0.5.5: BAN 管理アプリのファイル名が入っている行（第 29・30 章）。アプリの画面の言葉なので、アプリの中国語と一緒に直す
README.zh-CN.md	封禁	Aegis BAN 管理的快捷方式	v0.5.5: 同上（第 6 章。ランチャーのショートカットの説明）
README.zh-CN.md	封禁	**作者模式与管理员模式**	v0.5.5: 同上（第 29 章。アプリの画面の説明）
README.zh-CN.md	封禁	**提议文**	v0.5.5: 同上（第 29 章）
README.zh-CN.md	封禁	**粘贴提议**	v0.5.5: 同上（第 29 章）
README.zh-CN.md	封禁	**正当性确认**	v0.5.5: 同上（第 29 章）
README.zh-CN.md	封禁	**添加封禁（本机）**	v0.5.5: 同上（第 29 章）
README.zh-CN.md	封禁	**操作记录**	v0.5.5: 同上（第 29 章）
README.zh-CN.md	封禁	**身份确认（锁定）**	v0.5.5: 同上（第 29 章）
README.zh-CN.md	封禁	**自上次以来的变化**	v0.5.5: 同上（第 29 章）
README.zh-CN.md	封禁	**回复模板**	v0.5.5: 同上（第 29 章。返事のひな形の画面。ひな形そのものの中国語は 限制进入 に直しました）
README.zh-CN.md	封禁	**导入证据的规则**	v0.5.5: 同上（第 29 章）
README.zh-CN.md	封禁	作者的封禁管理会导入它们	v0.5.5: 同上（第 28 章。報告 zip の中身の説明）
README.zh-CN.md	封禁	开发者用的封禁管理不包含在内	v0.5.5: 同上（第 30 章。発布 zip の中身の説明）
CHANGELOG.md	入室限制	「入室限制中」をやめて	v0.5.5 の記録（前の言い方をやめたことそのものの記録）
CHANGELOG.md	内鬼	（红是内鬼）	v0.5.5: NG ワードのピンインの説明（プレイヤーが打つ言葉）
CHANGELOG.md	内鬼	「sus」「内鬼」	v0.5.3: 投票点中の検知が読む言葉（プレイヤーが打つ言葉）
CHANGELOG.md	ヴァイパー	シフター・ファントム・ヴァイパー	v0.5.1 の記録（当時の表記）
CHANGELOG.md	サイエンティスト	サイエンティストのバイタル	v0.5.0 の記録（当時の表記）
CHANGELOG.md	ヴァイパー	ヴァイパーの溶解時間	v0.5.0 の記録（当時の表記）
CHANGELOG.md	ヴァイパー	名前:ヴァイパー	v0.4.6 の記録（当時の出力の例）
CHANGELOG.md	ヴァイパー	ヴァイパーのキル	v0.4.6 の記録（当時の表記）
CHANGELOG.md	サイエンティスト	サイエンティスト・エンジニア・探偵	v0.4.0 の記録（当時の表記）
README.md	ヴァイパー	名前:ヴァイパー	v0.4.6 の変更履歴（当時の出力の例）
CHANGELOG.md	クルーメイト	「X は クルーメイト でした」	v0.4.x の記録（当時の表示）
README.zh-CN.md		伪装者狂粉、内鬼狂粉、狂粉市长	v0.5.5: 前の版の中国語の役職名（PR #1 の名前にする前の名前。入力では通る）の一覧
README.md		伪装者狂粉・内鬼狂粉・狂粉市长	v0.5.5: 前の版の中国語の役職名（PR #1 の名前にする前の名前。入力では通る）の一覧
README.en.md		伪装者狂粉, 内鬼狂粉, 狂粉市长	v0.5.5: 前の版の中国語の役職名（PR #1 の名前にする前の名前。入力では通る）の一覧
README.zh-CN.md	疯狂特技演员	旧名 `疯狂特技演员`	v0.5.5: アサシンが打てる前の名前（入力では通る）
README.md	疯狂特技演员	前の名前の `疯狂特技演员`	v0.5.5: アサシンが打てる前の名前（入力では通る）
README.en.md	疯狂特技演员	the former `疯狂特技演员`	v0.5.5: アサシンが打てる前の名前（入力では通る）
docs\TRANSLATING.zh-CN.md	内鬼	（不是“内鬼”）	v0.5.5: 翻訳の手引きの「使わない言い方」の例（直す先を示すための行）
docs\TRANSLATING.md	内鬼	「内鬼」ではありません	v0.5.5: 同上
docs\TRANSLATING.en.md	内鬼	(not "内鬼")	v0.5.5: 同上
